,ingredients,vegetables,meat,seafood,fruits,mushrooms,grains,id,dish,label
241,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Мак&чиз классический 320гр,Горячее
242,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Мак&чиз с ветчиной и беконом 320гр,Горячее
243,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Мак&чиз с курицей и шампиньонами 310гр,Горячее
244,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Стейк из курицы 380гр,Горячее
245,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Фалафель 340гр,Горячее
246,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Пути́н с курицей 280гр,Горячее
247,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Свинина пулд порк 380гр,Горячее
248,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Сырный суп 320гр,Супы
249,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Рабат 240гр,Салаты
250,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,С ростбифом и теплым картофелем 230гр,Салаты
251,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Коул слоу 150гр,Салаты
252,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Картофель фри 120гр,Закуски
253,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Картофельные дольки 120гр,Закуски
254,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Фиш&чипс 270гр,Закуски
255,,0.49083617,0.47048426,0.50374156,0.46920046,0.51186985,0.47842374,70000001019311632,Ростбиф в мексиканском стиле 180гр,Закуски
